context,layer,n_prompts,n_utterances,mean_similarity,std_similarity,max_similarity,min_similarity
anxious,3,100,100,0.9978743863236513,0.0021106718801308408,0.999968007118038,0.9810167834289896
anxious,4,100,100,0.9959034746353165,0.0037277847160864016,0.9999410037806683,0.9677430680060979
anxious,5,100,100,0.9939367493666683,0.005100891276343666,0.9999108287983067,0.9543280447665744
anxious,6,100,100,0.9922478680914985,0.006720195945195226,0.99991090854619,0.9417887498195929
anxious,7,100,100,0.9906377468828974,0.00769788165452621,0.9999019629067573,0.9364262178302711
anxious,8,100,100,0.9880872653366634,0.009957471697627706,0.9998926077039072,0.9180032013273214
anxious,9,100,100,0.9867355680208002,0.011163181046134216,0.9998880915520174,0.905021401147079
anxious,10,100,100,0.9853560027544572,0.012781099082361337,0.9998800143465175,0.8934065310649575
anxious,11,100,100,0.9858900288061646,0.012126451201768284,0.9998753703780825,0.900056662372275
anxious,12,100,100,0.9809614005173749,0.01726886089242885,0.9998513312772863,0.8496983821876415
anxious,13,100,100,0.9788873941275978,0.01870694786068234,0.9998371726573917,0.8430154550181647
anxious,14,100,100,0.9756381974441387,0.02138632835057791,0.9998175698481067,0.8148205658954574
anxious,15,100,100,0.9680488210888043,0.025991437529208246,0.9997094156884201,0.7823865573891281
anxious,16,100,100,0.9613564396621016,0.02999194359864808,0.9996497808652414,0.7550471532870495
anxious,17,100,100,0.9558886958800351,0.03296081588435454,0.9995634613793117,0.7301950605817512
anxious,18,100,100,0.9528243655833226,0.03400330473562501,0.9994936283926097,0.7139063232217222
anxious,19,100,100,0.9486266908966311,0.036101016412220015,0.9993913571150018,0.6929576818129259
anxious,20,100,100,0.9365707011794527,0.04261868191396801,0.9991226088640021,0.637491367402354
anxious,21,100,100,0.9281400252551024,0.04645398791977764,0.9989210103136356,0.6015363815369561
anxious,22,100,100,0.9228880535320386,0.048135203599525805,0.9988178145941264,0.5730764551137242
anxious,23,100,100,0.9181421176866789,0.048979340643773205,0.9985876481417328,0.5568386942103404
anxious,24,100,100,0.9137216800377659,0.04888411713413838,0.9981736967362632,0.5425124845025605
anxious,25,100,100,0.9074446735011621,0.050708669512567035,0.9979190851651066,0.5175418595506872
anxious,26,100,100,0.8973701502595303,0.052482677885058025,0.9974816959311603,0.5039808218763603
anxious,27,100,100,0.8802514505619229,0.05813187548954803,0.9967597296548756,0.4515888706624349
anxious,28,100,100,0.8072170577762119,0.07253286939601142,0.9697694050162488,0.19929783771251175
devastated,0,100,100,0.49790546862385515,0.14088848801728773,0.894569938916864,0.037622995121378115
devastated,1,100,100,0.8686658593991539,0.07753864255083918,0.9914434764597031,0.2196350799708667
devastated,2,100,100,0.9959842996648547,0.029025702185651665,0.9999799171556545,0.6884663848195475
devastated,3,100,100,0.9932622048500783,0.04403203778030729,0.999967014114102,0.5259153509163029
devastated,4,100,100,0.9902700912004375,0.05242780397956926,0.9999206174613096,0.4314813013933313
devastated,5,100,100,0.988004154905756,0.054888519513282254,0.9999089487742331,0.400540181461885
devastated,6,100,100,0.9859946320321269,0.05773303044073682,0.9999061202026062,0.3682979602061994
devastated,7,100,100,0.9840988292895516,0.060325080330117804,0.999895789263602,0.3423111894208933
devastated,8,100,100,0.9811692517881009,0.06334949257398104,0.9998775164621015,0.30438801077205474
devastated,9,100,100,0.9797920665072994,0.06312273606941078,0.9998802911009832,0.30729601907563164
devastated,10,100,100,0.9780119806598477,0.0668511922611491,0.9998848187108699,0.26463378112377695
devastated,11,100,100,0.9785169583483112,0.06806226998462667,0.9998852106236088,0.2561348181013055
devastated,12,100,100,0.9732965600501522,0.06893509673438472,0.9998792757824473,0.22991262762741976
devastated,13,100,100,0.9708785639972308,0.07108044115704074,0.9998712812773657,0.2117417906970392
devastated,14,100,100,0.9673421077268389,0.07288371707363014,0.9998582508838182,0.19070406913581556
devastated,15,100,100,0.9596404077316786,0.07346144143016574,0.9997949517706284,0.18521736107728537
devastated,16,100,100,0.9539576398287501,0.0728156579272136,0.9997515132774084,0.20577502651383822
devastated,17,100,100,0.948411154228961,0.0704203041198733,0.9996722861430037,0.2381579067341099
devastated,18,100,100,0.9462214232257334,0.06806027421472373,0.9996091303617174,0.2607924426166538
devastated,19,100,100,0.9422183221086016,0.06788932232864472,0.99955188512416,0.2699125879710245
devastated,20,100,100,0.931012313606976,0.06751125423312374,0.9994370600958442,0.30692161901178133
devastated,21,100,100,0.9228300581181835,0.06732235128656149,0.9993155139874397,0.33336196661288403
devastated,22,100,100,0.9173490302135943,0.06670320669535772,0.9992039634283354,0.34906060052546134
devastated,23,100,100,0.9124416118732339,0.06598032902420688,0.9990930746232042,0.36358647659966503
devastated,24,100,100,0.9084214121192341,0.06347156757364907,0.9989243240502861,0.3919359540222882
devastated,25,100,100,0.901820116182363,0.06440618022464001,0.9987439898881285,0.39107784821652325
devastated,26,100,100,0.8903109554612422,0.06685492147524565,0.9985686698809223,0.3816988105555809
devastated,27,100,100,0.8717880878814863,0.07238920939512294,0.9982934349842397,0.3706801011631521
devastated,28,100,100,0.7967126139899711,0.07677585864298074,0.9898549983857194,0.17400597087889152
lonely,0,100,100,0.5497794713029956,0.11786496966516921,0.9562299209657461,0.033392462779472665
